# annotations CSV — auto-generated by tests/tools/gen_annotations_csv.py
# Format: addr_hex,name,notes
# notes column collects aliasing labels at the same address.
0115C4,Obj2A,
0115D6,Obj2A_Init,
011610,Obj2A_Main,
01169A,Obj2D,
0116AC,Obj2D_Init,
01175E,Obj2D_Main,
0117F4,Obj2D_CheckCharacter,
011820,return_11820,
01188C,Obj28,
0119BE,Obj28_Init,
011A2C,Obj28_InitRandom,
011ADE,Obj28_Main,
011B38,Obj28_Walk,
011B74,Obj28_Fly,
011BD8,Obj28_ChkDel,
011BF4,Obj28_Prison,
011C14,Obj28_FlickyWait,
011C34,Obj28_FlickyJump,
011C6E,Obj28_RabbitWait,
011C8A,Obj28_DoubleBounce,
011CC8,Obj28_LandJump,
011CE6,Obj28_SingleBounce,
011D24,Obj28_FlyBounce,
011D78,AnimalJump,
011DA0,AnimalFaceSonic,
011DB8,ChkAnimalInRange,
011DC6,Obj29,
011DD8,Obj29_Init,
011E06,Obj29_Main,
011F44,Obj25,
011F5C,Obj25_Init,
011F90,Obj25_Animate,
011F9E,Obj25_Collect,
011FB0,Obj25_Sparkle,
011FBE,Obj25_Delete,
011FC2,CollectRing,
011FC8,CollectRing_Sonic,
011FD4,CollectRing_1P,
01201E,CollectRing_Tails,
012078,Obj37,
012090,Obj37_Init,
012178,Obj37_Main,
0121DA,Obj37_Collect,
0121EE,Obj37_Sparkle,
0121FC,Obj37_Delete,
012216,BigRing_Init,
012264,BigRing_Main,
012282,BigRing_Enter,
0122C0,BigRing_Delete,
0122D8,BigRingFlash_Init,
012306,BigRingFlash_Main,
012320,BigRingFlash_Animate,
012376,BigRingFlash_Delete,
0125E6,ObjDC,
0125FA,ObjDC_Main,
01264E,ObjDC_Animate,
01265A,ObjDC_Delete,
012670,Obj26,
012688,Obj26_Init,
0126FA,Obj26_Main,
01271C,SolidObject_Monitor,
012748,Obj26_Animate,
012756,SolidObject_Monitor_Sonic,
012768,SolidObject_Monitor_Tails,
012782,Obj26_ChkOverEdge,
0127B2,Obj26_CharStandOn,
0127BC,Obj26_Break,
0127EC,Obj26_SpawnIcon,
01281E,Obj26_SpawnSmoke,
012854,Obj2E,
012868,Obj2E_Init,
0128DE,Obj2E_Raise,
012938,robotnik_monitor,
01293E,sonic_1up,
012954,tails_1up,
01296A,super_ring,
0129D4,ChkPlayer_1up,
0129E0,super_shoes,
012A10,super_shoes_Tails,
012A2C,shield_monitor,
012A5C,invincible_monitor,
012AA6,teleport_monitor,
012ABA,swap_players,
012AC2,process_swap_table,
012B52,swap_loop_objects,
012CBE,teleport_swap_table_end,qmark_monitor
012CC2,Obj2E_Wait,
012E18,Obj0E,
012E38,Obj0E_Init,
012E58,Obj0E_Sonic,
012E8A,Obj0E_Sonic_Init,
012EC2,Obj0E_Sonic_FadeInAndPlayMusic,
012EE8,Obj0E_Sonic_LoadPalette,
012F08,Obj0E_LoadMaskingSprite,
012F18,Obj0E_Sonic_Move,
012F20,Obj0E_Move,
012F52,Obj0E_Animate,
012F60,Obj0E_Sonic_AnimationFinished,
012F7C,Obj0E_Sonic_SpawnTails,
012F9A,Obj0E_Sonic_FlashBackground,
012FD6,Obj0E_Sonic_SpawnFallingStar,
013014,Obj0E_Sonic_MakeStarSparkle,
013066,Obj0E_Tails,
01307E,Obj0E_Tails_Init,
