# Auto-generated from s1disasm REV00 listing — do not edit
0061EC,BgScrollSpeed,
006206,loc_6206,
006216,BgScroll_Index,
006222,_end,
006224,BgScroll_GHZ,
006228,BgScroll_LZ,
006230,BgScroll_MZ,
006232,BgScroll_SLZ,
00623E,BgScroll_SYZ,
006252,BgScroll_SBZ,
00625E,BgScroll_End,
006286,DeformLayers,
00628E,bgscroll,
0062DE,Deform_Index,
0062EA,_end,
0062EC,Deform_GHZ,
00633C,loc_633C,
006346,loc_6346,
006356,loc_6356,
006384,loc_6384,
006396,Deform_LZ,
0063C6,loc_63C6,
0063D6,Deform_MZ,
006402,loc_6402,
006426,loc_6426,
00642E,Deform_SLZ,
006480,loc_6480,
006482,loc_6482,
0064A8,Deform_SLZ_2,
0064CE,loc_64CE,
0064E2,loc_64E2,
0064F0,loc_64F0,
0064FE,loc_64FE,
006506,Deform_SYZ,
00653C,loc_653C,
006544,Deform_SBZ,
006576,loc_6576,
00657E,ScrollHoriz,
0065AA,SH_Forward,
0065B0,locret_65B0,
0065B2,MoveScreenHoriz,
0065CC,SH_AheadOfMid,
0065D6,SH_Ahead16,
0065E4,SH_SetScreen,
0065F6,SH_BehindMid,
006610,loc_6610,
006616,ScrollVertical,
00662A,SV_NotRolling,
00664A,loc_664A,
006656,loc_6656,
00665C,loc_665C,
00666C,loc_666C,
006684,loc_6684,
006696,loc_6696,
0066A8,loc_66A8,
0066AE,loc_66AE,
0066C0,loc_66C0,
0066CC,loc_66CC,
0066F0,loc_66F0,
0066F6,loc_66F6,
006700,loc_6700,
006720,loc_6720,
006724,loc_6724,
006760,loc_6760,
006766,locret_6766,
006768,ScrollBlock1,
006796,loc_6796,
00679C,loc_679C,
0067CA,loc_67CA,
0067D0,locret_67D0,
0067D2,ScrollBlock2,
00680C,loc_680C,
006812,locret_6812,
